,search_word,date_created,tweet_id,text,source
0,#grant,Thu Dec 17 20:44:50 +0000 2020,1339672928401514496,"b""RT @EM_TCCM: Applications for Fall 2021 are open until February 15th! Don't miss the opportunity to get a full grant to study Theoretical C\xe2\x80\xa6""","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
1,#grant,Thu Dec 17 20:30:12 +0000 2020,1339669245479809034,b'SUNLIGHT receives \xe2\x82\xac50m grant to develop \xe2\x80\x98low-environmental footprint\xe2\x80\x99 cells\n\nGet more insights from FutureBridge at\xe2\x80\xa6 https://t.co/P8R015uulQ',"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>"
2,#grant,Thu Dec 17 20:24:44 +0000 2020,1339667868162650128,"b'RT @teamSVBS: The last 2020 edition of our #newsletter is out now, featuring an important update on #grant funding and helpful advice on ho\xe2\x80\xa6'","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
3,#grant,Thu Dec 17 19:48:56 +0000 2020,1339658860190175236,b'RT @EUI_History: What could you do as a PhD researcher @EUI_History? Have a look at our research profile https://t.co/8zz6WwBYRW and apply\xe2\x80\xa6',"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
4,#grant,Thu Dec 17 19:44:35 +0000 2020,1339657763945918467,"b'RT @ChiTrust: Earlier this year, the Trust provided $425,000 in general operating funding to eight Building Pathways to Stability #grant re\xe2\x80\xa6'","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
5,#grant,Thu Dec 17 18:54:12 +0000 2020,1339645084288094208,b'Just found out this week that I got a small #grant from Fredrik &amp; Ingrid Thurings Stiftelse. My first ever grant as\xe2\x80\xa6 https://t.co/og0oOWwT2a',"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"
6,#grant,Thu Dec 17 18:23:34 +0000 2020,1339637374876332035,b'RT @JGrapsa: This is your opportunity to apply for an educational #grant for #Echokurs - one of the best clinical-pathology-imaging meeting\xe2\x80\xa6',"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
7,#grant,Thu Dec 17 18:16:32 +0000 2020,1339635605253308419,"b""RT @GBSLEP: Does your SME operate in the @GBSLEP area's Visitor Economy? Transportation, food &amp; drink, accommodation, sports and fitness, e\xe2\x80\xa6""","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
8,#grant,Thu Dec 17 18:16:08 +0000 2020,1339635507773497346,"b""RT @EM_TCCM: Applications for Fall 2021 are open until February 15th! Don't miss the opportunity to get a full grant to study Theoretical C\xe2\x80\xa6""","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
9,#grant,Thu Dec 17 18:15:07 +0000 2020,1339635250972995585,"b'Earlier this year, the Trust provided $425,000 in general operating funding to eight Building Pathways to Stability\xe2\x80\xa6 https://t.co/mQwp7GjIf7'","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>"
